url,title,class_code,salary,description,Knowledge_Skills,Problem_Solving,Decision_Authority,Impact_Org_Scope,Stakeholder_Influence,Experience,Supervisory_Responsibility,Budget_Resource_Accountability,Working_Conditions,Raw_Response
https://www.governmentjobs.com/careers/eastvaleca/classspecs/1680740,Senior Environmental Compliance Analyst,12002,"$127,573.68 - $159,367.08 Annually","Job title: Senior Environmental Compliance Analyst

Job Summary

Job Description Under Review

Special Requirements",3,3,3,3,3,4,1,2,2,"Knowledge and Skills: 3
Problem Solving and Complexity: 3
Decision Authority: 3
Impact and Organizational Scope: 3
Stakeholder Interaction and Influence: 3
Experience: 4
Supervisory Responsibility: 1
Budget and Resource Accountability: 2
Working Conditions: 2
"
https://www.governmentjobs.com/careers/eastvaleca/classspecs/1680640,City Clerk,31004a,"$72,316.44 - $90,312.84 Annually","Job title: City Clerk

Job Summary

Job Description Under Review

Special Requirements",3,3,3,3,3,3,1,1,1,"Knowledge and Skills: 3
Problem Solving and Complexity: 3
Decision Authority: 3
Impact and Organizational Scope: 3
Stakeholder Interaction and Influence: 3
Experience: 3
Supervisory Responsibility: 1
Budget and Resource Accountability: 1
Working Conditions: 1
"
https://www.governmentjobs.com/careers/eastvaleca/classspecs/1680644,Deputy City Manager,21003a,"$127,609.68 - $159,367.08 Annually","Job title: Deputy City Manager

Job Summary

Job Description Under Review

Special Requirements",3,3,3,3,3,4,3,3,1,"Knowledge and Skills: 3
Problem Solving and Complexity: 3
Decision Authority: 3
Impact and Organizational Scope: 3
Stakeholder Interaction and Influence: 3
Experience: 4
Supervisory Responsibility: 3
Budget and Resource Accountability: 3
Working Conditions: 1
"
https://www.governmentjobs.com/careers/eastvaleca/classspecs/1680735,Senior Communications Officer,31103a,"$97,257.12 - $121,460.76 Annually","Job title: Senior Communications Officer

Job Summary

Job Description Under Review

Special Requirements",3,3,3,3,3,3,1,1,1,"Knowledge and Skills: 3
Problem Solving and Complexity: 3
Decision Authority: 3
Impact and Organizational Scope: 3
Stakeholder Interaction and Influence: 3
Experience: 3
Supervisory Responsibility: 1
Budget and Resource Accountability: 1
Working Conditions: 1
"
https://www.governmentjobs.com/careers/eastvaleca/classspecs/1680750,Community Services & Recreation Supervisor,30201,"$127,609.68 - $159,367.08 Annually","Job title: Community Services & Recreation Supervisor

Job Summary

Job Description Under Review

Special Requirements",3,3,3,3,3,3,3,3,1,"Knowledge and Skills: 3
Problem Solving and Complexity: 3
Decision Authority: 3
Impact and Organizational Scope: 3
Stakeholder Interaction and Influence: 3
Experience: 3
Supervisory Responsibility: 3
Budget and Resource Accountability: 3
Working Conditions: 1
"
https://www.governmentjobs.com/careers/eastvaleca/classspecs/1680661,Senior Human Resources & Risk Management Analyst,31001,"$144,378.72 - $180,309.24 Annually","Job title: Senior Human Resources & Risk Management Analyst

Job Summary

Job Description Under Review

Special Requirements",3,3,3,3,3,3,1,1,1,"Knowledge and Skills: 3
Problem Solving and Complexity: 3
Decision Authority: 3
Impact and Organizational Scope: 3
Stakeholder Interaction and Influence: 3
Experience: 3
Supervisory Responsibility: 1
Budget and Resource Accountability: 1
Working Conditions: 1
"
https://www.governmentjobs.com/careers/eastvaleca/classspecs/1680668,Claims Specialist,72001,"$184,816.92 - $230,811.00 Annually","Job title: Claims Specialist

Job Summary

Job Description Under Review

Special Requirements",2,2,2,2,2,2,1,1,1,"Knowledge and Skills: 2
Problem Solving and Complexity: 2
Decision Authority: 2
Impact and Organizational Scope: 2
Stakeholder Interaction and Influence: 2
Experience: 2
Supervisory Responsibility: 1
Budget and Resource Accountability: 1
Working Conditions: 1
"
https://www.governmentjobs.com/careers/eastvaleca/classspecs/1680745,Community Services & Recreation Director,29501,"$124,497.24 - $155,480.04 Annually","Job title: Community Services & Recreation Director

Job Summary

Job Description Under Review

Special Requirements",3,3,3,3,3,4,3,3,1,"Knowledge and Skills: 3
Problem Solving and Complexity: 3
Decision Authority: 3
Impact and Organizational Scope: 3
Stakeholder Interaction and Influence: 3
Experience: 4
Supervisory Responsibility: 3
Budget and Resource Accountability: 3
Working Conditions: 1
"
https://www.governmentjobs.com/careers/eastvaleca/classspecs/1680739,Plans Examiner,21007,"$65,514.84 - $81,819.00 Annually","Job title: Plans Examiner

Job Summary

Job Description Under Review

Special Requirements",3,3,3,3,3,3,1,1,1,"Knowledge and Skills: 3
Problem Solving and Complexity: 3
Decision Authority: 3
Impact and Organizational Scope: 3
Stakeholder Interaction and Influence: 3
Experience: 3
Supervisory Responsibility: 1
Budget and Resource Accountability: 1
Working Conditions: 1
"
https://www.governmentjobs.com/careers/eastvaleca/classspecs/1680663,Senior Payroll Coordinator,31003a,"$81,819.00 - $102,180.72 Annually","Job title: Senior Payroll Coordinator

Job Summary

Job Description Under Review

Special Requirements",3,2,2,2,2,3,1,2,1,"Knowledge and Skills: 3
Problem Solving and Complexity: 2
Decision Authority: 2
Impact and Organizational Scope: 2
Stakeholder Interaction and Influence: 2
Experience: 3
Supervisory Responsibility: 1
Budget and Resource Accountability: 2
Working Conditions: 1
"
